input,activityName,averageHeartRate,kcal,distance,distanceUnit,duration,elevationGain,pace,poolLength,poolLengthUnit,speed,steps,swimLengths
run 411kcal 163hr m4270,Run,163,411,4.27,km,,,,,,,,
walk steps1.99k 112hr 186kcal 17.9,Walk,112,186,,,1074000,,,,,,1990,
walk 207kcal 30min 43sec 89b,Walk,89,207,,,1843000,,,,,,,
run 41.1min kcal615,Run,,615,,,2466000,,,,,,,
outdoor bike 20m29s bpm91,Outdoor Bike,91,,,,1229000,,,,,,,
outdoor bike 22 min kcal250,Outdoor Bike,,250,,,1320000,,,,,,,
outdoor bike 18m46s 96hr,Outdoor Bike,96,,,,1126000,,,,,,,
outdoor bike 21m20s 248kcal 118 bpm gain30.48m,Outdoor Bike,118,248,,,1280000,30.48,,,,,,
outdoor bike kcal153 19min 37sec 30.48m gain b96,Outdoor Bike,96,153,,,1177000,30.48,,,,,,
outdoor bike min23 36.58m gain 113b kcal234,Outdoor Bike,113,234,,,1380000,36.58,,,,,,
outdoor bike 115 bpm +27.43m 20m29s 200kcal,Outdoor Bike,115,200,,,1229000,27.43,,,,,,
walk 1.64ksteps 19.6min kcal176 99 bpm,Walk,99,176,,,1176000,,,,,,1640,
outdoor bike gain27.43m 1280s kcal265,Outdoor Bike,,265,,,1280000,27.43,,,,,,
run hr147 4340 m sec1586,Run,147,,4.34,km,1586000,,365.44,,,9.85,,
walk 17 min +3.05m,Walk,,,,,1020000,3.05,,,,,,
walk 22.2min b95 178kcal,Walk,95,178,,,1332000,,,,,,,
run kcal444 139 bpm mi2.95 29.8,Run,139,444,4.75,km,1788000,,376.61,,,9.56,,
outdoor bike 18min kcal139,Outdoor Bike,,139,,,1080000,,,,,,,
outdoor bike 20min 29sec 287kcal,Outdoor Bike,,287,,,1229000,,,,,,,
outdoor bike 120kcal 18min 47sec 42.67m gain b86,Outdoor Bike,86,120,,,1127000,42.67,,,,,,
outdoor bike 130bpm 22min 273kcal up33.53m,Outdoor Bike,130,273,,,1320000,33.53,,,,,,
run 3.73mi 39min 5sec step6040,Run,,,6.0,km,2345000,,390.65,,,9.22,6040,
run 41m9s mi3.91,Run,,,6.29,km,2469000,,392.37,,,9.18,,
outdoor bike 19m38s b90 125kcal,Outdoor Bike,90,125,,,1178000,,,,,,,
walk 1690s +9.14m,Walk,,,,,1690000,9.14,,,,,,
walk 1893 steps 89 bpm 173kcal sec1280,Walk,89,173,,,1280000,,,,,,1893,
outdoor bike 1536sec bpm118,Outdoor Bike,118,,,,1536000,,,,,,,
outdoor bike 148kcal 22.2min 90bpm,Outdoor Bike,90,148,,,1332000,,,,,,,
outdoor bike 247kcal +21.34m 22m11s 123bpm,Outdoor Bike,123,247,,,1331000,21.34,,,,,,
outdoor bike kcal115 19m37s elev39.62m 83hr,Outdoor Bike,83,115,,,1177000,39.62,,,,,,
treadmill 31m49s 4.56 km,Treadmill,,,4.56,km,1909000,,418.64,,,8.6,,
run 932steps 7.6 kcal75 km0.73,Run,,75,0.73,km,456000,,624.66,,,5.76,932,
run 3.46km 151hr 25min 30sec,Run,151,,3.46,km,1530000,,442.2,,,8.14,,
walk 29m1s 110b,Walk,110,,,,1741000,,,,,,,
run 30.4min 3.14 mi,Run,,,5.05,km,1824000,,360.95,,,9.97,,
walk kcal146 avg105 steps1.38k 16.2min,Walk,105,146,,,972000,,,,,,1380,
run 435kcal steps4539 2.7 mi 27min 21sec,Run,,435,4.35,km,1641000,,377.66,,,9.53,4539,
run 4.32km 27m22s elev42.67m,Run,,,4.32,km,1642000,42.67,380.09,,,9.47,,
walk 1.91ksteps 26.4,Walk,,,,,1584000,,,,,,1910,
run 144hr 5.01km 4770steps elev101.19m 27.9 434kcal,Run,144,434,5.01,km,1674000,101.19,334.13,,,10.77,4770,
walk +6.1m kcal230 avg89 1848 steps sec1945,Walk,89,230,,,1945000,6.1,,,,,1848,
run 28min 25sec 4.58ksteps 425kcal hr152 m5000 up39.62m,Run,152,425,5.0,km,1705000,39.62,341,,,10.56,4580,
walk 23m3s 1483 steps kcal132 91b,Walk,91,132,,,1383000,,,,,,1483,
walk 1178s elev15.24m 1.7k steps b117,Walk,117,,,,1178000,15.24,,,,,1700,
walk kcal202 29m1s bpm104 1.94k steps,Walk,104,202,,,1741000,,,,,,1940,
walk 111b kcal181 min20,Walk,111,181,,,1200000,,,,,,,
treadmill 5.5mi kcal711,Treadmill,,711,8.85,km,,,,,,,,
walk avg116 20 min step1535 153kcal,Walk,116,153,,,1200000,,,,,,1535,
treadmill 57min 11sec kcal674 +38.1m 8.92k steps b148 10590 m,Treadmill,148,674,10.59,km,3431000,38.1,323.98,,,11.11,8920,
treadmill +579.73m 6.75 km 152b 6ksteps kcal596 50min 12sec,Treadmill,152,596,6.75,km,3012000,579.73,446.22,,,8.07,6000,
walk sec1654 avg113 steps2k,Walk,113,,,,1654000,,,,,,2000,
treadmill 30.1min 4.38k,Treadmill,,,4.38,km,1806000,,412.33,,,8.73,,
run 0.19mi b110 step365 3 min 26kcal,Run,110,26,0.31,km,180000,,588.67,,,6.12,365,
run +167.95m 102.1min avg145 step16470 18430 m 1165kcal,Run,145,1165,18.43,km,6126000,167.95,332.39,,,10.83,16470,
treadmill 1299sec k3.69,Treadmill,,,3.69,km,1299000,,352.03,,,10.23,,
walk 22min 11sec 153kcal 2.28ksteps bpm106,Walk,106,153,,,1331000,,,,,,2280,
treadmill 11.27km +153.92m kcal815 10266 steps,Treadmill,,815,11.27,km,,153.92,,,,,10266,
treadmill 6.83 km 6.52k steps kcal590 52m3s,Treadmill,,590,6.83,km,3123000,,457.25,,,7.87,6520,
walk 34min 59sec steps3.5k up6.1m 270kcal,Walk,,270,,,2099000,6.1,,,,,3500,
treadmill kcal359 42.3min bpm124 2.19 mi,Treadmill,124,359,3.52,km,2538000,,720.11,,,5,,
run 15.6km 1h 25min 7sec b136,Run,136,,15.6,km,5107000,,327.37,,,11,,
treadmill 5.05 mi 47 min 512kcal,Treadmill,,512,8.13,km,2820000,,346.98,,,10.38,,
walk 111 bpm 15m22s kcal120 step1188,Walk,111,120,,,922000,,,,,,1188,
treadmill k1.45 avg110,Treadmill,110,,1.45,km,,,,,,,,
treadmill 150 bpm 42min 29sec,Treadmill,150,,,,2549000,,,,,,,
treadmill 9520 m 60.6min,Treadmill,,,9.52,km,3636000,,381.93,,,9.43,,
treadmill 541kcal 50m16s mi3.62,Treadmill,,541,5.83,km,3016000,,517.69,,,6.95,,
walk 922s up15.24m steps1483 92b kcal110,Walk,92,110,,,922000,15.24,,,,,1483,
walk kcal120 steps1681 21min 20sec,Walk,,120,,,1280000,,,,,,1681,
treadmill 79 bpm 6kcal step97 1m18s 0.08 km,Treadmill,79,6,0.08,km,78000,,975,,,3.69,97,
treadmill k18.59 104min,Treadmill,,,18.59,km,6240000,,335.66,,,10.73,,
outdoor bike 49min 389kcal bpm111 gain10.36m,Outdoor Bike,111,389,,,2940000,10.36,,,,,,
treadmill b138 1h0m27s 9.08ksteps kcal644,Treadmill,138,644,,,3627000,,,,,,9080,
sport b106 2181steps 25min 36sec kcal184,Sport,106,184,,,1536000,,,,,,2181,
outdoor bike 6.1m gain b117 20.5min kcal167,Outdoor Bike,117,167,,,1230000,6.1,,,,,,
treadmill avg160 km5.6 37min 32sec kcal459,Treadmill,160,459,5.6,km,2252000,,402.14,,,8.95,,
treadmill kcal597 51min 30sec b145 9.3km,Treadmill,145,597,9.3,km,3090000,,332.26,,,10.83,,
treadmill up57m km10.1 kcal624 step8997 56min avg142,Treadmill,142,624,10.1,km,3360000,57,332.67,,,10.82,8997,
treadmill steps9.16k 68min 9.84 km,Treadmill,,,9.84,km,4080000,,414.63,,,8.68,9160,
treadmill kcal714 k11.32 1h28m36s,Treadmill,,714,11.32,km,5316000,,469.61,,,7.67,,
run 15.84 mi sec8900,Run,,,25.49,km,8900000,,349.13,,,10.31,,
walk 149kcal hr99 24m45s 1.84k steps,Walk,99,149,,,1485000,,,,,,1840,
walk 188kcal 29.9min,Walk,,188,,,1794000,,,,,,,
treadmill b161 50.4min,Treadmill,161,,,,3024000,,,,,,,
treadmill 58min 9.04k steps kcal605,Treadmill,,605,,,3480000,,,,,,9040,
treadmill 6.33k steps +98.45m 570kcal min47 avg156 7.33 km,Treadmill,156,570,7.33,km,2820000,98.45,384.72,,,9.36,6330,
hike 487kcal k2.01,Hike,,487,2.01,km,,,,,,,,
hike kcal550 1h 30min 27sec 2.27km,Hike,,550,2.27,km,5427000,,2390.75,,,1.51,,
hike 3.2km 83.6 steps4.87k,Hike,,,3.2,km,5016000,,1567.5,,,2.3,4870,
treadmill 9770m 63min 657kcal 8.4k steps +253.29m 138b,Treadmill,138,657,9.77,km,3780000,253.29,386.9,,,9.3,8400,
hike 633sec 158steps km0.05 36kcal,Hike,,36,0.05,km,633000,,12660,,,0.28,158,
hike km3.49 1h27m43s,Hike,,,3.49,km,5263000,,1508.02,,,2.39,,
treadmill 16.2min 1.62 mi 2256steps kcal179,Treadmill,,179,2.61,km,972000,,372.82,,,9.66,2256,
treadmill up77.42m 9684steps 695kcal 147hr 11.52 km sec3951,Treadmill,147,695,11.52,km,3951000,77.42,342.97,,,10.5,9684,
walk sec3379 hr83 2838 steps,Walk,83,,,,3379000,,,,,,2838,
treadmill km4.97 164bpm kcal429 34,Treadmill,164,429,4.97,km,2040000,,410.46,,,8.77,,
walk 190kcal steps2.73k 106bpm 1741s,Walk,106,190,,,1741000,,,,,,2730,
treadmill 57.3 628kcal +96.62m k10.33,Treadmill,,628,10.33,km,3438000,96.62,332.82,,,10.82,,
sport 1.29ksteps sec973 kcal106 94b,Sport,94,106,,,973000,,,,,,1290,
treadmill 6.15k steps 162hr 40.6min kcal512,Treadmill,162,512,,,2436000,,,,,,6150,
treadmill 45m31s 453kcal,Treadmill,,453,,,2731000,,,,,,,
treadmill 6230m 49m34s up308.15m 5561steps 144 bpm 496kcal,Treadmill,144,496,6.23,km,2974000,308.15,477.37,,,7.54,5561,
hike 2h 34min 4sec k3.56 904kcal,Hike,,904,3.56,km,9244000,,2596.63,,,1.39,,
run bpm147 4290sec steps10405 11.19 km,Run,147,,11.19,km,4290000,,383.38,,,9.39,10405,
walk 146.5min b95 3.05km,Walk,95,,3.05,km,8790000,,2881.97,,,1.25,,
hike 7140 m b97 3h 36min 30sec kcal1360,Hike,97,1360,7.14,km,12990000,,1819.33,,,1.98,,
walk 35min 50sec 105hr,Walk,105,,,,2150000,,,,,,,
treadmill 51min 53sec 9.67km 146b,Treadmill,146,,9.67,km,3113000,,321.92,,,11.18,,
treadmill 6598steps 47,Treadmill,,,,,2820000,,,,,,6598,
treadmill 119 bpm up0.31m m2880 min22,Treadmill,119,,2.88,km,1320000,0.31,458.33,,,7.85,,
treadmill steps8724 72.2 714kcal 6.1 mi,Treadmill,,714,9.82,km,4332000,,441.28,,,8.16,8724,
treadmill 8.13km 52.4,Treadmill,,,8.13,km,3144000,,386.72,,,9.31,,
treadmill 7.95k 48.77m gain 41.8min,Treadmill,,,7.95,km,2508000,48.77,315.47,,,11.41,,
treadmill steps6863 mi5.03 45 min,Treadmill,,,8.1,km,2700000,,333.54,,,10.79,6863,
walk 102hr 124kcal up6.1m 20min 29sec step2203,Walk,102,124,,,1229000,6.1,,,,,2203,
treadmill km4.14 145bpm 24m38s kcal246,Treadmill,145,246,4.14,km,1478000,,357,,,10.08,,
treadmill 297kcal sec1621 3.25mi 4396 steps,Treadmill,,297,5.23,km,1621000,,309.92,,,11.62,4396,
sport 1022steps 104hr 114kcal 15min 22sec,Sport,104,114,,,922000,,,,,,1022,
sport kcal700 min83 bpm112 5.1k steps,Sport,112,700,,,4980000,,,,,,5100,
treadmill 455kcal 147 bpm steps6419 42.4min km7.6 gain44.5m,Treadmill,147,455,7.6,km,2544000,44.5,334.74,,,10.75,6419,
sport 54m37s 94b,Sport,94,,,,3277000,,,,,,,
sport kcal424 3686s,Sport,,424,,,3686000,,,,,,,
treadmill 14.8 k2.16,Treadmill,,,2.16,km,888000,,411.11,,,8.76,,
treadmill elev221.89m 39min km5.57,Treadmill,,,5.57,km,2340000,221.89,420.11,,,8.57,,
walk 20.5 79b step1093 12.19m gain 98kcal,Walk,79,98,,,1230000,12.19,,,,,1093,
treadmill 6.49 mi 3577s kcal576 hr133,Treadmill,133,576,10.44,km,3577000,,342.47,,,10.51,,
treadmill up85.34m 573kcal 47min 2sec m8590 step7264 167hr,Treadmill,167,573,8.59,km,2822000,85.34,328.52,,,10.96,7264,
walk 15min 22sec 94kcal 98hr step1171,Walk,98,94,,,922000,,,,,,1171,
treadmill km5.46 38min 39sec,Treadmill,,,5.46,km,2319000,,424.73,,,8.48,,
treadmill sec165 hr119 21kcal 283steps km0.29,Treadmill,119,21,0.29,km,165000,,568.97,,,6.33,283,
treadmill 190.4min m11280,Treadmill,,,11.28,km,11424000,,1012.77,,,3.55,,
walk b108 109kcal 15m21s 1.25k steps up6.1m,Walk,108,109,,,921000,6.1,,,,,1250,
treadmill 39.6min km7.06 6.12k steps bpm162,Treadmill,162,,7.06,km,2376000,,336.54,,,10.7,6120,
sport 298kcal 106 bpm sec2048,Sport,106,298,,,2048000,,,,,,,
sport kcal309 hr94 56min 20sec,Sport,94,309,,,3380000,,,,,,,
treadmill hr127 330kcal 4.78k steps elev8.23m 5.52 km 2329sec,Treadmill,127,330,5.52,km,2329000,8.23,421.92,,,8.53,4780,
walk hr90 1.4k steps 16.2 kcal107 gain9.14m,Walk,90,107,,,972000,9.14,,,,,1400,
swim kcal349 1.9km 54 min,Swim,,349,1.9,km,3240000,,1705.26,,,2.11,,
walk 125kcal 17.1min,Walk,,125,,,1026000,,,,,,,
hike 84 bpm step4335 kcal623 1.57mi up658.06m 133.6,Hike,84,623,2.53,km,8016000,658.06,3172.56,,,1.13,4335,
treadmill 17m31s 167kcal 2800 m,Treadmill,,167,2.8,km,1051000,,375.36,,,9.59,,
sport 1h 46min 40sec kcal616,Sport,,616,,,6400000,,,,,,,
treadmill steps9.01k sec3478 up68.28m,Treadmill,,,,,3478000,68.28,,,,,9010,
treadmill 68.5min mi7.15 718kcal up94.18m,Treadmill,,718,11.51,km,4110000,94.18,357.18,,,10.08,,
treadmill km7.38 kcal565 45.4,Treadmill,,565,7.38,km,2724000,,369.11,,,9.75,,
treadmill 46.5min 550kcal km8.86 steps7.47k,Treadmill,,550,8.86,km,2790000,,314.9,,,11.43,7470,
treadmill 109.8min 114bpm m12580,Treadmill,114,,12.58,km,6588000,,523.69,,,6.87,,
treadmill km12.13 kcal795 1h 4min 49sec,Treadmill,,795,12.13,km,3889000,,320.61,,,11.23,,
walk 15.24m gain min16 1.14ksteps b106 106kcal,Walk,106,106,,,960000,15.24,,,,,1140,
treadmill 45 min 467kcal bpm136 km8.15,Treadmill,136,467,8.15,km,2700000,,331.29,,,10.87,,
treadmill bpm141 23min,Treadmill,141,,,,1380000,,,,,,,
treadmill 1h1m54s 11.61 km,Treadmill,,,11.61,km,3714000,,319.9,,,11.25,,
treadmill 4.16 km 27m53s 172bpm,Treadmill,172,,4.16,km,1673000,,402.16,,,8.95,,
sport steps880 15.4 99hr,Sport,99,,,,924000,,,,,,880,
treadmill mi7.46 kcal788 avg133 1h 26min 27sec,Treadmill,133,788,12.01,km,5187000,,432.04,,,8.33,,
treadmill bpm161 up817.17m kcal765 62.2min steps8.86k km10.44,Treadmill,161,765,10.44,km,3732000,817.17,357.47,,,10.07,8860,
hike m4690 kcal1508 91b 5h54m42s,Hike,91,1508,4.69,km,21282000,,4537.74,,,0.79,,
treadmill 62.5min 723kcal,Treadmill,,723,,,3750000,,,,,,,
treadmill 5.48k 515kcal 157b 46,Treadmill,157,515,5.48,km,2760000,,503.65,,,7.15,,
treadmill 11.21km 656kcal 59m2s,Treadmill,,656,11.21,km,3542000,,315.97,,,11.39,,
hike kcal489 1h 13min 5sec 2070 m,Hike,,489,2.07,km,4385000,,2118.36,,,1.7,,
treadmill 47min 22sec 7491steps 8.84 km 543kcal,Treadmill,,543,8.84,km,2842000,,321.49,,,11.2,7491,
treadmill bpm157 steps4.61k km5.16 2072sec,Treadmill,157,,5.16,km,2072000,,401.55,,,8.97,4610,
hike 3.11mi min175 kcal1291 97hr,Hike,97,1291,5.01,km,10500000,,2097.88,,,1.72,,
hike 2.74 km 1h23m b98,Hike,98,,2.74,km,4980000,,1817.52,,,1.98,,
treadmill 48.3min 570kcal,Treadmill,,570,,,2898000,,,,,,,
treadmill bpm151 10.8k 662kcal sec3694,Treadmill,151,662,10.8,km,3694000,,342.04,,,10.53,,
sport 105 hr100 kcal757 5.66ksteps,Sport,100,757,,,6300000,,,,,,5660,
sport step1907 26m27s kcal184 avg103,Sport,103,184,,,1587000,,,,,,1907,
treadmill 59min 8sec mi5.1,Treadmill,,,8.21,km,3548000,,432.28,,,8.33,,
walk avg98 16.2min kcal96,Walk,98,96,,,972000,,,,,,,
treadmill 158b kcal529 gain41.45m steps5.97k 2700sec 6930m,Treadmill,158,529,6.93,km,2700000,41.45,389.61,,,9.24,5970,
walk 16min 13sec 99bpm 106kcal 1369 steps,Walk,99,106,,,973000,,,,,,1369,
treadmill 1h 2min 15sec 11580 m,Treadmill,,,11.58,km,3735000,,322.54,,,11.16,,
treadmill kcal593 50min 32sec 150bpm 9.81km elev37.8m 8343 steps,Treadmill,150,593,9.81,km,3032000,37.8,309.07,,,11.65,8343,
treadmill 560kcal 7410 m elev53.04m 46m48s hr159 6501 steps,Treadmill,159,560,7.41,km,2808000,53.04,378.95,,,9.5,6501,
treadmill 4035sec steps10.2k 11.75km,Treadmill,,,11.75,km,4035000,,343.4,,,10.48,10200,
treadmill 44.9min 7.22 km,Treadmill,,,7.22,km,2694000,,373.13,,,9.65,,
walk min16 109b kcal120 steps1603,Walk,109,120,,,960000,,,,,,1603,
treadmill km11.63 67 step9977 b130,Treadmill,130,,11.63,km,4020000,,345.66,,,10.41,9977,
sport 15m22s kcal112,Sport,,112,,,922000,,,,,,,
sport step3677 kcal341 124hr 40m7s,Sport,124,341,,,2407000,,,,,,3677,
walk 73.4min bpm98,Walk,98,,,,4404000,,,,,,,
walk 123kcal 1.51k steps 103 bpm 17min 4sec,Walk,103,123,,,1024000,,,,,,1510,
hike 784.56m gain hr87 765kcal steps5205 3.1km 110,Hike,87,765,3.1,km,6600000,784.56,2129.03,,,1.69,5205,
treadmill elev1.83m 158kcal km1.82 33min 33sec,Treadmill,,158,1.82,km,2013000,1.83,1106.04,,,3.25,,
walk 25min 36sec 145kcal,Walk,,145,,,1536000,,,,,,,
hike 2min 85hr kcal7 steps7,Hike,85,7,,,120000,,,,,,7,
hike 275.6min km6.01,Hike,,,6.01,km,16536000,,2751.41,,,1.31,,
treadmill 10.52 km min57,Treadmill,,,10.52,km,3420000,,325.1,,,11.07,,
treadmill sec3169 2.74m gain 132bpm 5.97 mi steps8159 kcal513,Treadmill,132,513,9.61,km,3169000,2.74,329.84,,,10.91,8159,
sport 102hr 52min 54sec,Sport,102,,,,3174000,,,,,,,
run mi5.48 139bpm 54.5 7.87k steps,Run,139,,8.82,km,3270000,,370.78,,,9.71,7870,
run 150b 63.5 6.64mi,Run,150,,10.69,km,3810000,,356.54,,,10.1,,
run 11min 1.37 km kcal89,Run,,89,1.37,km,660000,,481.75,,,7.47,,
run 11660m kcal819 avg162 10234steps 67.1min +158.5m,Run,162,819,11.66,km,4026000,158.5,345.28,,,10.43,10234,
run 130 bpm gain85.34m 23min 5sec 4.06 km,Run,130,,4.06,km,1385000,85.34,341.13,,,10.55,,
run 47.1 8.08 km hr162,Run,162,,8.08,km,2826000,,349.75,,,10.29,,
sport kcal447 1h4m,Sport,,447,,,3840000,,,,,,,
run 41 min 551kcal b171 7.61k,Run,171,551,7.61,km,2460000,,323.26,,,11.14,,
run sec4229 bpm163 mi8.28 11639 steps 906kcal elev160.02m,Run,163,906,13.33,km,4229000,160.02,317.36,,,11.34,11639,
run 1h 12min 39sec 6.78 mi,Run,,,10.91,km,4359000,,399.49,,,9.01,,
run 140hr 83.3 kcal833 km11.31,Run,140,833,11.31,km,4998000,,441.91,,,8.15,,
run m10030 146 bpm 625kcal min56,Run,146,625,10.03,km,3360000,,335,,,10.75,,
walk kcal147 5.03m gain 1587sec,Walk,,147,,,1587000,5.03,,,,,,
treadmill mi3.07 1h4m2s,Treadmill,,,4.94,km,3842000,,777.62,,,4.63,,
walk 21m20s kcal178,Walk,,178,,,1280000,,,,,,,
run 1780m 15.2 224kcal,Run,,224,1.78,km,912000,,512.36,,,7.03,,
treadmill kcal626 41min 3.16 mi,Treadmill,,626,5.09,km,2460000,,483.73,,,7.44,,
walk hr150 min20 2101 steps,Walk,150,,,,1200000,,,,,,2101,
walk min27 57.91m gain kcal254 96b,Walk,96,254,,,1620000,57.91,,,,,,
walk 96hr steps1317 20m28s kcal149,Walk,96,149,,,1228000,,,,,,1317,
treadmill 63.3 159bpm m6590,Treadmill,159,,6.59,km,3798000,,576.33,,,6.25,,
walk 2295steps 23.1min kcal233,Walk,,233,,,1386000,,,,,,2295,
walk kcal196 2446 steps bpm106 21min 20sec,Walk,106,196,,,1280000,,,,,,2446,
walk kcal253 25min 36sec +85.34m,Walk,,253,,,1536000,85.34,,,,,,
treadmill 0kcal 71min bpm78,Treadmill,78,0,,,4260000,,,,,,,
walk 1741sec kcal234,Walk,,234,,,1741000,,,,,,,
run 11.83km 133bpm 1h 44min 59sec,Run,133,,11.83,km,6299000,,532.46,,,6.76,,
run up1.83m km5.79 780kcal 7.76ksteps avg157 50.5min,Run,157,780,5.79,km,3030000,1.83,523.32,,,6.88,7760,
walk 22 min avg100,Walk,100,,,,1320000,,,,,,,
treadmill 51m55s 5.18m gain steps7144 km5.31,Treadmill,,,5.31,km,3115000,5.18,586.63,,,6.14,7144,
walk steps2.47k hr107 24m45s gain82.3m,Walk,107,,,,1485000,82.3,,,,,2470,
run 1730m 1.9k steps 12.7min,Run,,,1.73,km,762000,,440.46,,,8.17,1900,
aerobic workout avg123 43m31s kcal464,Aerobic Workout,123,464,,,2611000,,,,,,,
run 0.91 mi 654sec 1527 steps,Run,,,1.46,km,654000,,446.57,,,8.06,1527,
run k1.78 12m31s b147,Run,147,,1.78,km,751000,,421.91,,,8.53,,
run 45.2 avg164 6120 steps,Run,164,,,,2712000,,,,,,6120,
treadmill hr76 0kcal 0.1min,Treadmill,76,0,,,6000,,,,,,,
walk 106 bpm 29 246kcal step2786,Walk,106,246,,,1740000,,,,,,2786,
walk b92 217kcal 27min 19sec,Walk,92,217,,,1639000,,,,,,,
run 12.4 1.07mi kcal174,Run,,174,1.72,km,744000,,432.06,,,8.33,,
treadmill 56min 10sec 4k 111hr 543kcal,Treadmill,111,543,4.0,km,3370000,,842.5,,,4.27,,
run 744s kcal151 1.17mi 7.32m gain 1.84k steps avg132,Run,132,151,1.88,km,744000,7.32,395.13,,,9.11,1840,
run 4762s 1103kcal,Run,,1103,,,4762000,,,,,,,
walk 2.16ksteps 22min 11sec kcal167 hr99,Walk,99,167,,,1331000,,,,,,2160,
run 59m29s gain6.1m,Run,,,,,3569000,6.1,,,,,,
treadmill steps9004 1h 10min 56sec kcal1001 7.26km,Treadmill,,1001,7.26,km,4256000,,586.23,,,6.14,9004,
walk 104b 32.4 kcal278 3238 steps,Walk,104,278,,,1944000,,,,,,3238,
run 151bpm 9.3min kcal128,Run,151,128,,,558000,,,,,,,
run 65kcal km0.7 7m50s up23.47m steps811 b115,Run,115,65,0.7,km,470000,23.47,671.43,,,5.36,811,
walk 24min +85.34m 242kcal,Walk,,242,,,1440000,85.34,,,,,,
treadmill 1h16m29s 5.49 km 134bpm,Treadmill,134,,5.49,km,4589000,,835.88,,,4.31,,
walk steps1.12k 101 bpm sec973 kcal132,Walk,101,132,,,973000,,,,,,1120,
walk 24m44s steps1.46k 163kcal,Walk,,163,,,1484000,,,,,,1460,
walk sec1331 183kcal 2308 steps,Walk,,183,,,1331000,,,,,,2308,
walk 27.3 109bpm steps2685 kcal252 6.1m gain,Walk,109,252,,,1638000,6.1,,,,,2685,
walk 32 min 91b,Walk,91,,,,1920000,,,,,,,
walk 1531 steps kcal146 b91 sec1178,Walk,91,146,,,1178000,,,,,,1531,
run 12min 41sec step1875,Run,,,,,761000,,,,,,1875,
treadmill 3636s hr133,Treadmill,133,,,,3636000,,,,,,,
run 955s 1.75 km,Run,,,1.75,km,955000,,545.71,,,6.6,,
treadmill 1.52m gain 16.08ksteps 1448kcal 138hr 16570 m 1h50m17s,Treadmill,138,1448,16.57,km,6617000,1.52,399.34,,,9.01,16080,
run 1390 m 15.2min bpm107,Run,107,,1.39,km,912000,,656.12,,,5.49,,
walk bpm114 2.46k steps sec1485,Walk,114,,,,1485000,,,,,,2460,
walk 181kcal 22min,Walk,,181,,,1320000,,,,,,,
walk 2.69ksteps 26min 27sec 258kcal 101hr,Walk,101,258,,,1587000,,,,,,2690,
walk 2.56k steps 27m18s,Walk,,,,,1638000,,,,,,2560,
run 170kcal 12min 29sec 1.89ksteps 1.12 mi +75.9m 138hr,Run,138,170,1.8,km,749000,75.9,415.54,,,8.66,1890,
treadmill 140 bpm 3364s +5.49m steps7880 mi4.6 757kcal,Treadmill,140,757,7.4,km,3364000,5.49,454.41,,,7.92,7880,
walk 27 min kcal256 106bpm steps2530,Walk,106,256,,,1620000,,,,,,2530,
walk kcal176 bpm105 steps2220 20m29s,Walk,105,176,,,1229000,,,,,,2220,
treadmill 151bpm 757kcal 5.97 km step6606 gain10.36m min52,Treadmill,151,757,5.97,km,3120000,10.36,522.61,,,6.89,6606,
walk 28m10s kcal268 107bpm,Walk,107,268,,,1690000,,,,,,,
run 13.1min 1.79 km,Run,,,1.79,km,786000,,439.11,,,8.2,,
treadmill 4.9min 0.13 km,Treadmill,,,0.13,km,294000,,2261.54,,,1.59,,
aerobic workout 147bpm 2.18ksteps 253kcal 17m56s,Aerobic Workout,147,253,,,1076000,,,,,,2180,
run 127bpm 11.8min 1870 m,Run,127,,1.87,km,708000,,378.61,,,9.51,,
walk 2.6ksteps 25min 36sec hr105 kcal244,Walk,105,244,,,1536000,,,,,,2600,
treadmill 21 min b146 2.67km 2.89ksteps up0.31m kcal286,Treadmill,146,286,2.67,km,1260000,0.31,471.91,,,7.63,2890,
walk kcal145 avg98 18.8 1305 steps,Walk,98,145,,,1128000,,,,,,1305,
walk steps2.39k kcal184 23min 54sec,Walk,,184,,,1434000,,,,,,2390,
aerobic workout 280kcal step2392 bpm126 25min 37sec,Aerobic Workout,126,280,,,1537000,,,,,,2392,
sport kcal200 avg111 1558 steps min22,Sport,111,200,,,1320000,,,,,,1558,
aerobic workout 232kcal 23m2s,Aerobic Workout,,232,,,1382000,,,,,,,
run 14.39 mi b153 2h9m12s,Run,153,,23.16,km,7752000,,334.74,,,10.75,,
run 1.44km 13.8,Run,,,1.44,km,828000,,575,,,6.26,,
run min26 126 bpm 26.82m gain kcal301,Run,126,301,,,1560000,26.82,,,,,,
treadmill k8.85 148b 1h14m16s kcal1032,Treadmill,148,1032,8.85,km,4456000,,503.5,,,7.15,,
treadmill kcal840 elev1.52m 5.63 km 3895s,Treadmill,,840,5.63,km,3895000,1.52,691.83,,,5.2,,
treadmill k4.92 39min 35sec,Treadmill,,,4.92,km,2375000,,482.72,,,7.46,,
treadmill 1h 6min 4sec 6.89 km hr145,Treadmill,145,,6.89,km,3964000,,575.33,,,6.26,,
treadmill steps8010 719kcal 145bpm 7.78 km 3071s up1.22m,Treadmill,145,719,7.78,km,3071000,1.22,394.73,,,9.12,8010,
walk 15m21s kcal117 avg98 steps1.23k,Walk,98,117,,,921000,,,,,,1230,
sport 107b 1h 48min 23sec step6109 kcal878,Sport,107,878,,,6503000,,,,,,6109,
