input,transactionType,amount,currency,category,description,timeOffset,fromAccount,toAccount
juice 0.3 dollar yday,expense,0.3,USD,food_drink,Juice,-P1D,,
spent 0.22 eur auto,expense,0.22,EUR,transport,Auto,PT0M,,
spent €0.56 auto+bus,expense,0.56,EUR,transport,Auto+Bus,PT0M,,
bus -6.85 MKD,expense,6.85,MKD,transport,Bus,PT0M,,
bus 0.11€,expense,0.11,EUR,transport,Bus,PT0M,,
bus -0.11e,expense,0.11,EUR,transport,Bus,PT0M,,
recharge 177.4 MKD tmr,expense,177.4,MKD,utilities,Recharge,P1D,,
person_g paid +102.74 den,income,102.74,MKD,other_income,person_g paid,PT0M,,
snacks 1.11e 8 hours ago,expense,1.11,EUR,food_drink,Snacks,-PT8H,,
ice cream -0.33e,expense,0.33,EUR,food_drink,Ice cream,PT0M,,
+1369.86 MKD ogt paid,income,1369.86,MKD,other_income,OGT paid,PT0M,,
person_b -0.11e,expense,0.11,EUR,peer_transfer,person_b,PT0M,,
bus pass €4.78 13 days ago,expense,4.78,EUR,transport,Bus pass,-P13D,,
withdraw €5.56 savings bank to cash,transfer,5.56,EUR,transfer,Withdraw,PT0M,Savings Bank,Cash
ice cream 0.83€,expense,0.83,EUR,food_drink,Ice cream,PT0M,,
rta -0.39 eur,expense,0.39,EUR,transport,RtA,PT0M,,
snacks 0.33€,expense,0.33,EUR,food_drink,Snacks,PT0M,,
bus 6.85mkd,expense,6.85,MKD,transport,Bus,PT0M,,
withdraw 2.22 eur savings bank to cash,transfer,2.22,EUR,transfer,Withdraw,PT0M,Savings Bank,Cash
bus 0.36 USD 8 days ago,expense,0.36,USD,transport,Bus,-P8D,,
bus €0.22 22d ago,expense,0.22,EUR,transport,Bus,-P22D,,
snacks -0.33 eur 9 hours ago,expense,0.33,EUR,food_drink,Snacks,-PT9H,,
got +0.36usd adjust,income,0.36,USD,balance_adjustment,Adjust,PT0M,,
spent 432.19 ден person_c payup,expense,432.19,MKD,peer_transfer,person_c payUp,PT0M,,
got +5479.45mkd payment,income,5479.45,MKD,other_income,Payment,PT0M,,
spent 27.4 den juice,expense,27.4,MKD,food_drink,Juice,PT0M,,
juice -6.85 MKD 2h ago,expense,6.85,MKD,food_drink,Juice,-PT2H,,
spent 13.7 ден auto 11 days ago,expense,13.7,MKD,transport,Auto,-P11D,,
auto -0.24 USD,expense,0.24,USD,transport,Auto,PT0M,,
auto -13.7 MKD 13h ago,expense,13.7,MKD,transport,Auto,-PT13H,,
spent 0.24 dollar auto,expense,0.24,USD,transport,Auto,PT0M,,
snacks 0.17€ 13h ago,expense,0.17,EUR,food_drink,Snacks,-PT13H,,
spent 0.11 eur bus: rtg,expense,0.11,EUR,transport,Bus: RtG,PT0M,,
spent 0.12 dollar bus,expense,0.12,USD,transport,Bus,PT0M,,
bus 6.85mkd,expense,6.85,MKD,transport,Bus,PT0M,,
auto -0.24usd 5d ago,expense,0.24,USD,transport,Auto,-P5D,,
snack -€0.33,expense,0.33,EUR,food_drink,Snack,PT0M,,
spent 0.11e bus,expense,0.11,EUR,transport,Bus,PT0M,,
auto 0.22e -30d,expense,0.22,EUR,transport,Auto,-P30D,,
got +34.54 den stonks return,income,34.54,MKD,investment_income,Stonks Return,PT0M,,
person_i +27.4 ден,income,27.4,MKD,other_income,person_i,PT0M,,
bonda 0.78 eur -19d,expense,0.78,EUR,food_drink,Bonda,-P19D,,
auto -€0.22,expense,0.22,EUR,transport,Auto,PT0M,,
rta -23.97mkd 8h ago,expense,23.97,MKD,transport,RtA,-PT8H,,
bus -0.22 eur,expense,0.22,EUR,transport,Bus,PT0M,,
bus -€0.22 13h ago,expense,0.22,EUR,transport,Bus,-PT13H,,
withdraw savings bank €2.22 to cash 16 days ago,transfer,2.22,EUR,transfer,Withdraw,-P16D,Savings Bank,Cash
glasses 3.42mkd,expense,3.42,MKD,health,Glasses,PT0M,,
bus -€0.11 9d ago,expense,0.11,EUR,transport,Bus,-P9D,,
bus 0.22e -23h,expense,0.22,EUR,transport,Bus,-PT23H,,
bus -0.11e,expense,0.11,EUR,transport,Bus,PT0M,,
bus 6.85 MKD 16 days ago,expense,6.85,MKD,transport,Bus,-P16D,,
family_member_a -17.78€,expense,17.78,EUR,peer_transfer,family_member_a,PT0M,,
spent 0.11e bus,expense,0.11,EUR,transport,Bus,PT0M,,
+1.11 eur family_member_a -19d,income,1.11,EUR,family_support,family_member_a,-P19D,,
spent 6.85 ден bus in 1d,expense,6.85,MKD,transport,Bus,P1D,,
bus: rtg 0.11 eur,expense,0.11,EUR,transport,Bus: RtG,PT0M,,
spent 0.39€ atr,expense,0.39,EUR,transport,AtR,PT0M,,
bus 0.11 eur,expense,0.11,EUR,transport,Bus,PT0M,,
spent 13.7 MKD auto 2 hours ago,expense,13.7,MKD,transport,Auto,-PT2H,,
auto -0.22€,expense,0.22,EUR,transport,Auto,PT0M,,
ice cream 1.09€ 5d ago,expense,1.09,EUR,food_drink,Ice cream,-P5D,,
water 0.36 dollar -26d,expense,0.36,USD,food_drink,Water,-P26D,,
spent €0.89 fried rice 10d ago,expense,0.89,EUR,food_drink,Fried rice,-P10D,,
goli soda 0.54e -26d,expense,0.54,EUR,food_drink,Goli soda,-P26D,,
auto -0.22€,expense,0.22,EUR,transport,Auto,PT0M,,
auto 0.22€ -16d,expense,0.22,EUR,transport,Auto,-P16D,,
rta -0.39 eur,expense,0.39,EUR,transport,RtA,PT0M,,
juice -0.22€,expense,0.22,EUR,food_drink,Juice,PT0M,,
got +33.33 eur family_member_a sent,income,33.33,EUR,family_support,family_member_a sent,PT0M,,
spent 0.11 eur bus: rtg -13h,expense,0.11,EUR,transport,Bus: RtG,-PT13H,,
btr €0.44 13h ago,expense,0.44,EUR,transport,BtR,-PT13H,,
+2.22e metro recharge 5 hours ago,income,2.22,EUR,other_income,Metro Recharge,-PT5H,,
metro recharge -2.22€,expense,2.22,EUR,transport,Metro recharge,PT0M,,
rta -0.35e,expense,0.35,EUR,transport,RtA,PT0M,,
spent 1.1 eur burger am,expense,1.1,EUR,food_drink,Burger AM,PT0M,,
spent 0.11 eur bus: rtg,expense,0.11,EUR,transport,Bus: RtG,PT0M,,
atr €0.39,expense,0.39,EUR,transport,AtR,PT0M,,
+1.45€ stonks return,income,1.45,EUR,investment_income,Stonks return,PT0M,,
rta 0.35 eur,expense,0.35,EUR,transport,RtA,PT0M,,
bus: gtr -0.11 eur,expense,0.11,EUR,transport,Bus: GtR,PT0M,,
spent 0.06€ sq bands,expense,0.06,EUR,other,SQ bands,PT0M,,
bus: rtg 0.11€ 4h ago,expense,0.11,EUR,transport,Bus: RtG,-PT4H,,
atr €0.39,expense,0.39,EUR,transport,AtR,PT0M,,
spent 0.22€ water,expense,0.22,EUR,food_drink,Water,PT0M,,
spent 0.33 eur frooti -10h,expense,0.33,EUR,food_drink,Frooti,-PT10H,,
water -20.55mkd 18 hours ago,expense,20.55,MKD,food_drink,Water,-PT18H,,
fac 0.36 USD 30 days ago,expense,0.36,USD,other,FAC,-P30D,,
spent 0.22 eur auto 5h ago,expense,0.22,EUR,transport,Auto,-PT5H,,
shirt -513.7 MKD,expense,513.7,MKD,shopping,Shirt,PT0M,,
to transfer insufficient bal pos decline charge -0.26e,expense,0.26,EUR,financial,TO TRANSFER INSUFFICIENT BAL POS DECLINE CHARGE,PT0M,,
got +17.23 eur person_h payup,income,17.23,EUR,other_income,person_h payup,PT0M,,
spent 2.88e mobile,expense,2.88,EUR,utilities,Mobile,PT0M,,
spent 89.04 MKD stonks,expense,89.04,MKD,financial,Stonks,PT0M,,
got +€0.08 change,income,0.08,EUR,other_income,Change,PT0M,,
got +3.33€ person_c returns,income,3.33,EUR,refund,person_c returns,PT0M,,
init +€1.54,income,1.54,EUR,balance_adjustment,Init,PT0M,,
init +2414.91 MKD,income,2414.91,MKD,balance_adjustment,Init,PT0M,,
init +2.78 eur,income,2.78,EUR,balance_adjustment,Init,PT0M,,
