previousInput,input,exercise,setNumber,reps,weightKg
cj set2 50x3,+20 x2,clean_and_jerk,3,2,70
cj #3 50 +20 r2,cj #4 70kgx2,clean_and_jerk,4,2,70
cj #4 70kgx2,+10 x2,clean_and_jerk,5,2,80
cj #5 70kg +10kg x2,+10 x1,clean_and_jerk,6,1,90
cj s6 80+10x1,cj s7 95 1,clean_and_jerk,7,1,95
cj s7 95 1,s8 90 1,clean_and_jerk,8,1,90
,squat s1 50kgx6,squat,1,6,50
squat s1 50kgx6,set2 50kg +20kg x4,squat,2,4,70
squat set2 50kg +20kg x4,+20 x3,squat,3,3,90
squat #3 70+20 3r,+10 x3,squat,4,3,100
squat s4 90kg +10kg x3,squat set5 100+10x2,squat,5,2,110
squat set5 100+10x2,squat set6 110kgx2,squat,6,2,110
squat set6 110kgx2,110x2,squat,7,2,110
squat #7 110x2,110x2,squat,8,2,110
,gm #1 20x15,good_morning,1,15,20
,abs #1 25r,crunch,1,25,
abs #1 25r,snatch s1 20 10,snatch,1,10,20
snatch s1 20 10,+20 x4,snatch,2,4,40
snatch set2 20 +20 4r,40x3,snatch,3,3,40
snatch #3 40kgx3,+10 x3,snatch,4,3,50
snatch #4 40+10 r3,#5 50kgx3,snatch,5,3,50
snatch #5 50kgx3,snatch #6 60kgx2,snatch,6,2,60
snatch #6 60kgx2,snatch set7 60x2,snatch,7,2,60
snatch set7 60x2,snatch s8 60+10 1reps,snatch,8,1,70
snatch s8 60+10 1reps,+5 x1,snatch,9,1,75
,cj set1 50x3,clean_and_jerk,1,3,50
cj set1 50x3,cj #2 70 2reps,clean_and_jerk,2,2,70
cj #2 70 2reps,cj s3 70kgx2,clean_and_jerk,3,2,70
cj s3 70kgx2,cj #4 80x1,clean_and_jerk,4,1,80
cj #4 80x1,+10 x1,clean_and_jerk,5,1,90
cj #5 90x1,cj set6 90 +5 1,clean_and_jerk,6,1,95
,squat set1 50kgx5,squat,1,5,50
squat set1 50kgx5,squat #2 50 +20 r5,squat,2,5,70
squat #2 50 +20 r5,squat #3 70+20x3,squat,3,3,90
squat #3 70+20x3,s4 90+10x3,squat,4,3,100
squat s4 90+10x3,squat #5 100kg +10kg x3,squat,5,3,110
squat #5 100kg +10kg x3,110x3,squat,6,3,110
squat set6 110 r3,squat set7 110kgx3,squat,7,3,110
squat set7 110kgx3,set8 110 3,squat,8,3,110
,abs set1 25reps,crunch,1,25,
abs set1 25reps,gm s1 20 r15,good_morning,1,15,20
gm s1 20 r15,hsnatch set1 20 5reps,hang_snatch,1,5,20
hsnatch set1 20 5reps,hsnatch s2 40x3,hang_snatch,2,3,40
hsnatch s2 40x3,40x3,hang_snatch,3,3,40
hsnatch #3 40 3,+10 x3,hang_snatch,4,3,50
hsnatch set4 50x3,hsnatch s5 50 3r,hang_snatch,5,3,50
hsnatch s5 50 3r,+10 x3,hang_snatch,6,3,60
hsnatch set6 50+10 3r,hsnatch #7 60kgx3,hang_snatch,7,3,60
hsnatch #7 60kgx3,hsnatch #8 60x3,hang_snatch,8,3,60
hsnatch #8 60x3,hsnatch s9 60kgx3,hang_snatch,9,3,60
,hclean s1 20x5,hang_clean,1,5,20
hclean s1 20x5,+30 x3,hang_clean,2,3,50
hclean s2 20kg +30kg x3,+20 x3,hang_clean,3,3,70
hclean s3 70kgx3,hclean s4 80x3,hang_clean,4,3,80
hclean s4 80x3,80x3,hang_clean,5,3,80
hclean s5 80x3,set6 80x3,hang_clean,6,3,80
hclean set6 80x3,s7 80x3,hang_clean,7,3,80
,spull set1 70kgx4,snatch_pull,1,4,70
spull set1 70kgx4,+10 x4,snatch_pull,2,4,80
spull #2 70+10x4,spull set3 80x4,snatch_pull,3,4,80
spull set3 80x4,+10 x4,snatch_pull,4,4,90
spull s4 90 4r,90x4,snatch_pull,5,4,90
,ab #1 r25,crunch,1,25,
ab #1 r25,gm #1 20 15,good_morning,1,15,20
,snatch set1 20 r5,snatch,1,5,20
snatch set1 20 r5,+20 x4,snatch,2,4,40
snatch set2 40x4,#3 40kgx4,snatch,3,4,40
snatch #3 40kgx4,+10 x3,snatch,4,3,50
snatch #4 50kgx3,set5 50kgx3,snatch,5,3,50
snatch set5 50kgx3,s6 50+10x2,snatch,6,2,60
snatch s6 50+10x2,60x2,snatch,7,2,60
snatch set7 60 2reps,snatch #8 65kgx1,snatch,8,1,65
snatch #8 65kgx1,snatch #9 65+5x1,snatch,9,1,70
snatch #9 65+5x1,#10 70kgx1,snatch,10,1,70
,cj set1 50x3,clean_and_jerk,1,3,50
cj set1 50x3,set2 60 1,clean_and_jerk,2,1,60
cj set2 60 1,cj set3 60kgx1,clean_and_jerk,3,1,60
cj set3 60kgx1,#4 60kg +10kg x2,clean_and_jerk,4,2,70
cj #4 60kg +10kg x2,#5 70kgx2,clean_and_jerk,5,2,70
cj #5 70kgx2,s6 70+10x1,clean_and_jerk,6,1,80
cj s6 70+10x1,+5 x1,clean_and_jerk,7,1,85
cj s7 80kg +5kg x1,+5 x1,clean_and_jerk,8,1,90
cj #8 90 r1,s9 90+5x1,clean_and_jerk,9,1,95
cj s9 90+5x1,squat s1 50 5,squat,1,5,50
squat s1 50 5,+20 x3,squat,2,3,70
squat set2 50 +20 r3,+20 x3,squat,3,3,90
squat s3 90 r3,squat #4 90kg +10kg x3,squat,4,3,100
squat #4 90kg +10kg x3,squat set5 110kgx3,squat,5,3,110
squat set5 110kgx3,110x3,squat,6,3,110
squat #6 110kgx3,squat s7 110x3,squat,7,3,110
squat s7 110x3,squat set8 110 3,squat,8,3,110
,crunch s1 25r,crunch,1,25,
crunch s1 25r,gm set1 20x15,good_morning,1,15,20
,snatch s1 20kgx5,snatch,1,5,20
snatch s1 20kgx5,snatch set2 20kg +20kg x4,snatch,2,4,40
snatch set2 20kg +20kg x4,40x4,snatch,3,4,40
snatch set3 40x4,+10 x3,snatch,4,3,50
snatch s4 50 3reps,50x3,snatch,5,3,50
snatch s5 50x3,+10 x2,snatch,6,2,60
snatch s6 60 2r,set7 70x1,snatch,7,1,70
snatch set7 70x1,#8 75 1,snatch,8,1,75
snatch #8 75 1,s9 75kgx1,snatch,9,1,75
,cj set1 50kgx3,clean_and_jerk,1,3,50
cj set1 50kgx3,cj s2 50kgx3,clean_and_jerk,2,3,50
cj s2 50kgx3,cj s3 70 r2,clean_and_jerk,3,2,70
cj s3 70 r2,cj s4 70kgx2,clean_and_jerk,4,2,70
cj s4 70kgx2,cj set5 70+10x1,clean_and_jerk,5,1,80
cj set5 70+10x1,cj s6 80+10x1,clean_and_jerk,6,1,90
cj s6 80+10x1,cj s7 90+5x1,clean_and_jerk,7,1,95
cj s7 90+5x1,cj set8 95+5 1r,clean_and_jerk,8,1,100
cj set8 95+5 1r,s9 100 1,clean_and_jerk,9,1,100
,squat set1 50kgx5,squat,1,5,50
squat set1 50kgx5,+20 x3,squat,2,3,70
squat set2 50+20x3,+20 x3,squat,3,3,90
squat #3 70kg +20kg x3,squat #4 100x3,squat,4,3,100
squat #4 100x3,+10 x3,squat,5,3,110
squat s5 110x3,squat #6 110kgx3,squat,6,3,110
squat #6 110kgx3,+10 x2,squat,7,2,120
squat #7 110kg +10kg x2,-10 x3,squat,8,3,110
,abs #1 r25,crunch,1,25,
,gm s1 20kgx15,good_morning,1,15,20
,cj #1 40x3,clean_and_jerk,1,3,40
cj #1 40x3,cj #2 40 3reps,clean_and_jerk,2,3,40
cj #2 40 3reps,#3 40 +10 2r,clean_and_jerk,3,2,50
cj #3 40 +10 2r,+10 x2,clean_and_jerk,4,2,60
cj #4 50+10 r2,cj #5 70 r2,clean_and_jerk,5,2,70
cj #5 70 r2,+10 x2,clean_and_jerk,6,2,80
cj s6 80 2reps,+10 x1,clean_and_jerk,7,1,90
cj s7 80+10 1,cj #8 90 +5 1,clean_and_jerk,8,1,95
cj #8 90 +5 1,cj s9 100x1,clean_and_jerk,9,1,100
cj s9 100x1,snatch #1 40kgx4,snatch,1,4,40
snatch #1 40kgx4,40x4,snatch,2,4,40
snatch s2 40 4,+10 x3,snatch,3,3,50
snatch #3 50x3,50x3,snatch,4,3,50
snatch set4 50 3r,snatch #5 60x2,snatch,5,2,60
snatch #5 60x2,snatch #6 70 1,snatch,6,1,70
snatch #6 70 1,70x1,snatch,7,1,70
snatch s7 70x1,snatch s8 70+5x1,snatch,8,1,75
snatch s8 70+5x1,#9 77.5 r1,snatch,9,1,77.5
snatch #9 77.5 r1,-7.5 x2,snatch,10,2,70
snatch set10 77.5kg -7.5kg x2,s11 70 r2,snatch,11,2,70
snatch s11 70 r2,fs #1 50kgx5,front_squat,1,5,50
fs #1 50kgx5,set2 70kgx3,front_squat,2,3,70
fs set2 70kgx3,+10 x3,front_squat,3,3,80
fs #3 70+10 3r,+10 x3,front_squat,4,3,90
fs set4 80kg +10kg x3,+10 x3,front_squat,5,3,100
fs #5 100x3,set6 100kgx3,front_squat,6,3,100
fs set6 100kgx3,100x3,front_squat,7,3,100
fs #7 100x3,fs set8 100kgx3,front_squat,8,3,100
,abs #1 25,crunch,1,25,
abs #1 25,gm #1 20kgx15,good_morning,1,15,20
gm #1 20kgx15,hsnatch s1 20kgx5,hang_snatch,1,5,20
hsnatch s1 20kgx5,hsnatch #2 20kg +20kg x4,hang_snatch,2,4,40
hsnatch #2 20kg +20kg x4,hsnatch s3 50x3,hang_snatch,3,3,50
hsnatch s3 50x3,hsnatch s4 50kg +10kg x3,hang_snatch,4,3,60
hsnatch s4 50kg +10kg x3,hsnatch #5 60x3,hang_snatch,5,3,60
hsnatch #5 60x3,60x3,hang_snatch,6,3,60
hsnatch set6 60kgx3,+5 x2,hang_snatch,7,2,65
hsnatch #7 65kgx2,#8 65x2,hang_snatch,8,2,65
hsnatch #8 65x2,+5 x1,hang_snatch,9,1,70
,hclean s1 20x5,hang_clean,1,5,20
hclean s1 20x5,s2 20+30 3reps,hang_clean,2,3,50
hclean s2 20+30 3reps,hclean s3 50kg +10kg x2,hang_clean,3,2,60
hclean s3 50kg +10kg x2,set4 70x3,hang_clean,4,3,70
hclean set4 70x3,hclean set5 80kgx3,hang_clean,5,3,80
hclean set5 80kgx3,80x3,hang_clean,6,3,80
hclean set6 80 r3,hclean s7 80x3,hang_clean,7,3,80
,squat s1 60 r5,squat,1,5,60
squat s1 60 r5,squat s2 60 +20 3r,squat,2,3,80
squat s2 60 +20 3r,+20 x3,squat,3,3,100
squat #3 100kgx3,s4 100+10x3,squat,4,3,110
squat s4 100+10x3,#5 110kgx3,squat,5,3,110
squat #5 110kgx3,110x3,squat,6,3,110
squat set6 110x3,squat set7 110 r3,squat,7,3,110
,ab s1 25,crunch,1,25,
,gm s1 20kgx15,good_morning,1,15,20
gm s1 20kgx15,snatch s1 20kgx5,snatch,1,5,20
snatch s1 20kgx5,set2 20 +20 4reps,snatch,2,4,40
snatch set2 20 +20 4reps,snatch set3 40+10 3,snatch,3,3,50
snatch set3 40+10 3,50x3,snatch,4,3,50
snatch #4 50kgx3,#5 60x2,snatch,5,2,60
snatch #5 60x2,snatch s6 60kgx2,snatch,6,2,60
snatch s6 60kgx2,+10 x1,snatch,7,1,70
snatch s7 70kgx1,snatch s8 70kgx1,snatch,8,1,70
snatch s8 70kgx1,70x1,snatch,9,1,70
snatch #9 70 1r,cj #1 50kgx3,clean_and_jerk,1,3,50
cj #1 50kgx3,cj #2 60 2,clean_and_jerk,2,2,60
cj #2 60 2,+10 x2,clean_and_jerk,3,2,70
cj s3 60+10 2r,+10 x2,clean_and_jerk,4,2,80
cj #4 80x2,s5 90x1,clean_and_jerk,5,1,90
cj s5 90x1,cj s6 90 1r,clean_and_jerk,6,1,90
,fs set1 60x3,front_squat,1,3,60
fs set1 60x3,fs s2 80kgx3,front_squat,2,3,80
fs s2 80kgx3,fs #3 80 +10 3reps,front_squat,3,3,90
fs #3 80 +10 3reps,fs set4 90 +10 3,front_squat,4,3,100
fs set4 90 +10 3,fs #5 100 3,front_squat,5,3,100
fs #5 100 3,fs set6 100kgx3,front_squat,6,3,100
,crunch set1 r25,crunch,1,25,
,gm set1 20x15,good_morning,1,15,20
gm set1 20x15,psnatch s1 20kgx5,power_snatch,1,5,20
psnatch s1 20kgx5,s2 20+20x4,power_snatch,2,4,40
psnatch s2 20+20x4,+10 x3,power_snatch,3,3,50
psnatch #3 40 +10 3reps,psnatch s4 60 3reps,power_snatch,4,3,60
psnatch s4 60 3reps,psnatch s5 60kgx3,power_snatch,5,3,60
psnatch s5 60kgx3,+5 x3,power_snatch,6,3,65
psnatch s6 60+5x3,s7 65+5x1,power_snatch,7,1,70
psnatch s7 65+5x1,+5 x1,power_snatch,8,1,75
,pclean s1 50kgx3,power_clean,1,3,50
pclean s1 50kgx3,pclean s2 60 3r,power_clean,2,3,60
pclean s2 60 3r,pclean #3 60 +10 3reps,power_clean,3,3,70
pclean #3 60 +10 3reps,pclean #4 70+10 r3,power_clean,4,3,80
pclean #4 70+10 r3,#5 80kgx3,power_clean,5,3,80
pclean #5 80kgx3,s6 80x3,power_clean,6,3,80
pclean s6 80x3,+10 x1,power_clean,7,1,90
pclean #7 80 +10 r1,90x1,power_clean,8,1,90
,fs set1 60 5,front_squat,1,5,60
fs set1 60 5,s2 60+20 r3,front_squat,2,3,80
fs s2 60+20 r3,fs #3 90x3,front_squat,3,3,90
fs #3 90x3,fs s4 100x3,front_squat,4,3,100
fs s4 100x3,100x3,front_squat,5,3,100
fs #5 100 3,100x3,front_squat,6,3,100
,abs s1 25reps,crunch,1,25,
abs s1 25reps,gm #1 20 15,good_morning,1,15,20
,cj s1 40kgx2,clean_and_jerk,1,2,40
cj s1 40kgx2,cj set2 50 r2,clean_and_jerk,2,2,50
cj set2 50 r2,cj set3 50+20 2r,clean_and_jerk,3,2,70
cj set3 50+20 2r,+10 x2,clean_and_jerk,4,2,80
cj set4 70+10 r2,#5 90 1reps,clean_and_jerk,5,1,90
cj #5 90 1reps,+10 x1,clean_and_jerk,6,1,100
cj set6 100x1,set7 100+2.5 1,clean_and_jerk,7,1,102.5
,snatch #1 20x5,snatch,1,5,20
snatch #1 20x5,+20 x2,snatch,2,2,40
snatch s2 20+20 2,#3 40+10 2reps,snatch,3,2,50
snatch #3 40+10 2reps,snatch s4 50kg +10kg x2,snatch,4,2,60
snatch s4 50kg +10kg x2,#5 60+10x1,snatch,5,1,70
snatch #5 60+10x1,s6 70x1,snatch,6,1,70
snatch s6 70x1,+5 x1,snatch,7,1,75
snatch set7 70+5 r1,#8 75kgx1,snatch,8,1,75
snatch #8 75kgx1,75x1,snatch,9,1,75
snatch s9 75kgx1,snatch s10 75 1r,snatch,10,1,75
,fs #1 60x3,front_squat,1,3,60
fs #1 60x3,+20 x3,front_squat,2,3,80
fs s2 80x3,fs s3 80+10 3,front_squat,3,3,90
fs s3 80+10 3,set4 90+10 3r,front_squat,4,3,100
fs set4 90+10 3r,fs s5 100kgx3,front_squat,5,3,100
fs s5 100kgx3,#6 100x3,front_squat,6,3,100
fs #6 100x3,100x3,front_squat,7,3,100
,abs s1 25,crunch,1,25,
,gm s1 20x15,good_morning,1,15,20
gm s1 20x15,psnatch s1 20 5,power_snatch,1,5,20
psnatch s1 20 5,psnatch #2 40 r3,power_snatch,2,3,40
psnatch #2 40 r3,40x3,power_snatch,3,3,40
psnatch #3 40x3,+10 x5,power_snatch,4,5,50
psnatch set4 40+10x5,+10 x4,power_snatch,5,4,60
psnatch #5 60x4,#6 60x3,power_snatch,6,3,60
psnatch #6 60x3,60x3,power_snatch,7,3,60
psnatch set7 60kgx3,psnatch s8 65kgx4,power_snatch,8,4,65
,pclean set1 50x3,power_clean,1,3,50
pclean set1 50x3,pclean set2 50+10 3r,power_clean,2,3,60
pclean set2 50+10 3r,s3 60+10x3,power_clean,3,3,70
pclean s3 60+10x3,pclean set4 70 +10 3,power_clean,4,3,80
pclean set4 70 +10 3,80x3,power_clean,5,3,80
pclean #5 80 3reps,pclean #6 80kgx3,power_clean,6,3,80
pclean #6 80kgx3,+10 x1,power_clean,7,1,90
,crunch set1 r25,crunch,1,25,
,gm set1 20kgx15,good_morning,1,15,20
gm set1 20kgx15,snatch set1 20x5,snatch,1,5,20
snatch set1 20x5,snatch set2 40x3,snatch,2,3,40
snatch set2 40x3,40x3,snatch,3,3,40
snatch s3 40 3r,+10 x3,snatch,4,3,50
snatch #4 40+10x3,snatch #5 60 3r,snatch,5,3,60
snatch #5 60 3r,snatch #6 60kgx3,snatch,6,3,60
snatch #6 60kgx3,60x3,snatch,7,3,60
snatch s7 60kgx3,+5 x1,snatch,8,1,65
snatch #8 60+5 1reps,s9 65+5x1,snatch,9,1,70
snatch s9 65+5x1,snatch s10 70x1,snatch,10,1,70
snatch s10 70x1,#11 70kgx1,snatch,11,1,70
,cj s1 20 r3,clean_and_jerk,1,3,20
cj s1 20 r3,set2 50kgx3,clean_and_jerk,2,3,50
cj set2 50kgx3,cj set3 50kg +20kg x3,clean_and_jerk,3,3,70
cj set3 50kg +20kg x3,+10 x3,clean_and_jerk,4,3,80
cj set4 70+10x3,cj s5 80kgx3,clean_and_jerk,5,3,80
cj s5 80kgx3,80x3,clean_and_jerk,6,3,80
cj s6 80kgx3,cj set7 90kgx1,clean_and_jerk,7,1,90
cj set7 90kgx1,fs set1 70x3,front_squat,1,3,70
fs set1 70x3,fs set2 70kg +20kg x3,front_squat,2,3,90
fs set2 70kg +20kg x3,s3 105 r3,front_squat,3,3,105
fs s3 105 r3,105x2,front_squat,4,2,105
fs set4 105kgx2,105x1,front_squat,5,1,105
fs s5 105x1,fs #6 105 2r,front_squat,6,2,105
fs #6 105 2r,fs #7 105kgx1,front_squat,7,1,105
,sj #1 50kgx3,split_jerk,1,3,50
sj #1 50kgx3,50x3,split_jerk,2,3,50
sj set2 50 r3,set3 50+10 3reps,split_jerk,3,3,60
sj set3 50+10 3reps,sj s4 60kgx3,split_jerk,4,3,60
sj s4 60kgx3,60x3,split_jerk,5,3,60
,crunch set1 25r,crunch,1,25,
,gm s1 20x15,good_morning,1,15,20
gm s1 20x15,psnatch s1 20x5,power_snatch,1,5,20
psnatch s1 20x5,+20 x3,power_snatch,2,3,40
psnatch #2 40 3reps,psnatch s3 40x3,power_snatch,3,3,40
psnatch s3 40x3,+10 x3,power_snatch,4,3,50
psnatch #4 50x3,psnatch #5 50+10x3,power_snatch,5,3,60
psnatch #5 50+10x3,set6 60 r3,power_snatch,6,3,60
psnatch set6 60 r3,60x3,power_snatch,7,3,60
psnatch s7 60kgx3,60x3,power_snatch,8,3,60
,pclean s1 50kgx3,power_clean,1,3,50
pclean s1 50kgx3,pclean #2 50 +20 3,power_clean,2,3,70
pclean #2 50 +20 3,+10 x3,power_clean,3,3,80
pclean #3 70kg +10kg x3,pclean #4 80 3reps,power_clean,4,3,80
pclean #4 80 3reps,pclean set5 80 3reps,power_clean,5,3,80
pclean set5 80 3reps,pclean #6 80+10x1,power_clean,6,1,90
pclean #6 80+10x1,#7 90x1,power_clean,7,1,90
,squat s1 50 5,squat,1,5,50
squat s1 50 5,+20 x5,squat,2,5,70
squat s2 50 +20 r5,squat s3 70kg +20kg x3,squat,3,3,90
squat s3 70kg +20kg x3,squat #4 90kg +20kg x3,squat,4,3,110
squat #4 90kg +20kg x3,squat #5 110kgx3,squat,5,3,110
squat #5 110kgx3,squat set6 110x3,squat,6,3,110
squat set6 110x3,110x3,squat,7,3,110
squat #7 110x3,squat s8 110 +10 2r,squat,8,2,120
squat s8 110 +10 2r,squat set9 120+10x1,squat,9,1,130
squat set9 120+10x1,+5 x1,squat,10,1,135
,ab #1 25r,crunch,1,25,
ab #1 25r,gm #1 20kgx15,good_morning,1,15,20
,snatch s1 20x5,snatch,1,5,20
snatch s1 20x5,s2 20+20x3,snatch,2,3,40
snatch s2 20+20x3,40x3,snatch,3,3,40
snatch #3 40 3reps,snatch #4 50x3,snatch,4,3,50
snatch #4 50x3,set5 60 3,snatch,5,3,60
snatch set5 60 3,snatch #6 60kgx3,snatch,6,3,60
snatch #6 60kgx3,snatch #7 60kgx3,snatch,7,3,60
snatch #7 60kgx3,set8 60kgx3,snatch,8,3,60
snatch set8 60kgx3,snatch set9 60 +5 1r,snatch,9,1,65
,cj set1 20kgx3,clean_and_jerk,1,3,20
cj set1 20kgx3,cj set2 45x3,clean_and_jerk,2,3,45
cj set2 45x3,#3 60x3,clean_and_jerk,3,3,60
cj #3 60x3,+10 x2,clean_and_jerk,4,2,70
cj #4 60kg +10kg x2,cj #5 70+10 3,clean_and_jerk,5,3,80
cj #5 70+10 3,cj s6 80kgx3,clean_and_jerk,6,3,80
cj s6 80kgx3,cj set7 80kgx3,clean_and_jerk,7,3,80
cj set7 80kgx3,80x3,clean_and_jerk,8,3,80
,squat #1 60 5,squat,1,5,60
squat #1 60 5,+20 x3,squat,2,3,80
squat #2 60+20x3,+10 x1,squat,3,1,90
squat s3 80+10x1,squat s4 100kgx3,squat,4,3,100
squat s4 100kgx3,s5 100x3,squat,5,3,100
squat s5 100x3,100x3,squat,6,3,100
squat s6 100x3,100x3,squat,7,3,100
squat #7 100x3,squat set8 100x3,squat,8,3,100
,abs #1 r25,crunch,1,25,
,gm set1 20x15,good_morning,1,15,20
,snatch #1 20 5reps,snatch,1,5,20
snatch #1 20 5reps,+20 x3,snatch,2,3,40
snatch #2 20kg +20kg x3,s3 40 r2,snatch,3,2,40
snatch s3 40 r2,snatch set4 40+10x2,snatch,4,2,50
snatch set4 40+10x2,snatch s5 50kg +10kg x3,snatch,5,3,60
snatch s5 50kg +10kg x3,+5 x3,snatch,6,3,65
snatch #6 65kgx3,65x3,snatch,7,3,65
snatch #7 65kgx3,snatch s8 65kgx3,snatch,8,3,65
snatch s8 65kgx3,s9 70 r1,snatch,9,1,70
snatch s9 70 r1,snatch #10 75x1,snatch,10,1,75
snatch #10 75x1,cj #1 20x3,clean_and_jerk,1,3,20
cj #1 20x3,cj #2 20+30x3,clean_and_jerk,2,3,50
cj #2 20+30x3,#3 50+20 2,clean_and_jerk,3,2,70
cj #3 50+20 2,#4 80 1,clean_and_jerk,4,1,80
cj #4 80 1,cj set5 80 +5 3r,clean_and_jerk,5,3,85
cj set5 80 +5 3r,cj s6 85x3,clean_and_jerk,6,3,85
cj s6 85x3,85x3,clean_and_jerk,7,3,85
,fs set1 50 3reps,front_squat,1,3,50
fs set1 50 3reps,+20 x3,front_squat,2,3,70
fs set2 70 3,s3 70+20x3,front_squat,3,3,90
fs s3 70+20x3,+10 x2,front_squat,4,2,100
fs #4 100 2,100x2,front_squat,5,2,100
fs set5 100 2r,100x2,front_squat,6,2,100
fs set6 100x2,100x2,front_squat,7,2,100
fs s7 100 2,press s1 5x20,ohp,1,20,5
press s1 5x20,press #2 5+35x4,ohp,2,4,40
press #2 5+35x4,ohp s3 40kgx4,ohp,3,4,40
ohp s3 40kgx4,ohp set4 40x4,ohp,4,4,40
ohp set4 40x4,40x4,ohp,5,4,40
ohp set5 40kgx4,#6 40+10x3,ohp,6,3,50
,abs #1 25reps,crunch,1,25,
,gm set1 20kgx15,good_morning,1,15,20
gm set1 20kgx15,psnatch set1 20kgx10,power_snatch,1,10,20
psnatch set1 20kgx10,psnatch s2 40x3,power_snatch,2,3,40
psnatch s2 40x3,40x3,power_snatch,3,3,40
psnatch s3 40 3r,psnatch set4 50 3,power_snatch,4,3,50
psnatch set4 50 3,psnatch set5 50+10 3reps,power_snatch,5,3,60
psnatch set5 50+10 3reps,psnatch s6 60kgx3,power_snatch,6,3,60
psnatch s6 60kgx3,psnatch set7 60x3,power_snatch,7,3,60
psnatch set7 60x3,psnatch set8 60 3,power_snatch,8,3,60
,pclean #1 50 3r,power_clean,1,3,50
pclean #1 50 3r,pclean #2 60kgx2,power_clean,2,2,60
pclean #2 60kgx2,+10 x2,power_clean,3,2,70
pclean set3 60+10 r2,+10 x3,power_clean,4,3,80
pclean set4 80kgx3,set5 80x3,power_clean,5,3,80
pclean set5 80x3,pclean #6 80kgx3,power_clean,6,3,80
pclean #6 80kgx3,#7 80kgx3,power_clean,7,3,80
pclean #7 80kgx3,+10 x1,power_clean,8,1,90
,squat set1 60kgx5,squat,1,5,60
squat set1 60kgx5,+20 x3,squat,2,3,80
squat s2 80x3,squat s3 90 1,squat,3,1,90
squat s3 90 1,+20 x3,squat,4,3,110
squat #4 90+20 3r,squat #5 110 3reps,squat,5,3,110
squat #5 110 3reps,110x3,squat,6,3,110
squat set6 110 3,squat s7 110kgx3,squat,7,3,110
squat s7 110kgx3,+10 x1,squat,8,1,120
squat #8 110+10x1,bp #1 15 10r,bench,1,10,15
bp #1 15 10r,+20 x8,bench,2,8,35
bench set2 35x8,+10 x6,bench,3,6,45
bp set3 45x6,#4 45kg +10kg x4,bench,4,4,55
bench #4 45kg +10kg x4,bp s5 55 r4,bench,5,4,55
bp s5 55 r4,#6 55 4reps,bench,6,4,55
bp #6 55 4reps,55x4,bench,7,4,55
bp s7 55x4,bp set8 65x3,bench,8,3,65
,abs set1 25reps,crunch,1,25,
,gm s1 20kgx15,good_morning,1,15,20
,snatch set1 20 5r,snatch,1,5,20
snatch set1 20 5r,+20 x2,snatch,2,2,40
snatch #2 40x2,snatch #3 40 2r,snatch,3,2,40
snatch #3 40 2r,snatch s4 50x2,snatch,4,2,50
snatch s4 50x2,s5 60kgx2,snatch,5,2,60
snatch s5 60kgx2,snatch #6 70x1,snatch,6,1,70
snatch #6 70x1,+5 x1,snatch,7,1,75
snatch #7 70+5 r1,75x1,snatch,8,1,75
snatch set8 75kgx1,set9 70 1reps,snatch,9,1,70
snatch set9 70 1reps,snatch s10 70+5x1,snatch,10,1,75
,cj s1 20kgx3,clean_and_jerk,1,3,20
cj s1 20kgx3,set2 50 2reps,clean_and_jerk,2,2,50
cj set2 50 2reps,set3 60x2,clean_and_jerk,3,2,60
cj set3 60x2,+10 x2,clean_and_jerk,4,2,70
cj s4 60+10x2,+10 x2,clean_and_jerk,5,2,80
cj s5 80kgx2,+10 x1,clean_and_jerk,6,1,90
cj #6 90kgx1,cj set7 90 +10 1reps,clean_and_jerk,7,1,100
,cpull set1 100kgx3,clean_pull,1,3,100
cpull set1 100kgx3,#2 100kgx3,clean_pull,2,3,100
cpull #2 100kgx3,cpull set3 100x3,clean_pull,3,3,100
cpull set3 100x3,100x3,clean_pull,4,3,100
cpull s4 100x3,fs set1 50kgx3,front_squat,1,3,50
fs set1 50kgx3,fs #2 80 3,front_squat,2,3,80
fs #2 80 3,set3 90kgx3,front_squat,3,3,90
fs set3 90kgx3,90x3,front_squat,4,3,90
fs set4 90kgx3,90x3,front_squat,5,3,90
fs set5 90 3reps,fs #6 90 r3,front_squat,6,3,90
fs #6 90 r3,90x3,front_squat,7,3,90
